"ID"	"NAME"	"CLIENT_DIV_IDENTIFIER"	"BUILD_TAG_ID"	"TSPD_BUILD_TAG_ID"	"CROCAS_BUILD_TAG_ID"
354	"SQA2014R2"	"SQA2014R2"	51	51	51
356	"SQA2015R1"	"SQA2015R1"	51	51	51
